ds,y
2/27/2016,22
2/28/2016,60
2/29/2016,79
3/1/2016,63
3/2/2016,81
3/3/2016,541
3/4/2016,80
3/5/2016,80
3/6/2016,61
3/7/2016,68
3/8/2016,36
3/9/2016,0
3/10/2016,0
3/11/2016,35
3/12/2016,122
3/13/2016,214
3/14/2016,131
3/15/2016,1177
3/16/2016,235
3/17/2016,514
3/18/2016,108
3/19/2016,10
3/20/2016,47
3/21/2016,72
3/22/2016,94
3/23/2016,63
3/24/2016,64
3/25/2016,49
3/26/2016,76
3/27/2016,10
3/28/2016,62
3/29/2016,77
3/30/2016,246
3/31/2016,96
4/1/2016,112
4/2/2016,64
4/3/2016,26
4/4/2016,74
4/5/2016,76
4/6/2016,81
4/7/2016,66
4/8/2016,99
4/9/2016,148
4/10/2016,137
4/11/2016,93
4/12/2016,486
4/13/2016,150
4/14/2016,505
4/15/2016,74
4/16/2016,25
4/17/2016,110
4/18/2016,71
4/19/2016,90
4/20/2016,99
4/21/2016,78
4/22/2016,63
4/23/2016,134
4/24/2016,174
4/25/2016,99
4/26/2016,69
4/27/2016,80
4/28/2016,56
4/29/2016,600
4/30/2016,
5/1/2016,587
5/2/2016,65
5/3/2016,70
5/4/2016,447
5/5/2016,260
5/6/2016,567
5/7/2016,87
5/8/2016,157
5/9/2016,64
5/10/2016,82
5/11/2016,132
5/12/2016,103
5/13/2016,81
5/14/2016,119
5/15/2016,30
5/16/2016,46
5/17/2016,50
5/18/2016,62
5/19/2016,66
5/20/2016,29
5/21/2016,61
5/22/2016,92
5/23/2016,50
5/24/2016,528
5/25/2016,446
5/26/2016,84
5/27/2016,65
5/28/2016,38
5/29/2016,149
5/30/2016,68
5/31/2016,68
6/1/2016,121
6/2/2016,91
6/3/2016,144
6/4/2016,78
6/5/2016,32
6/6/2016,58
6/7/2016,108
6/8/2016,71
6/9/2016,256
6/10/2016,71
6/11/2016,29
6/12/2016,151
6/13/2016,58
6/14/2016,498
6/15/2016,113
6/16/2016,107
6/17/2016,444
6/18/2016,34
6/19/2016,51
6/20/2016,82
6/21/2016,92
6/22/2016,424
6/23/2016,71
6/24/2016,482
6/25/2016,219
6/26/2016,29
6/27/2016,72
6/28/2016,85
6/29/2016,741
6/30/2016,58
7/1/2016,135
7/2/2016,75
7/3/2016,31
7/4/2016,155
7/5/2016,29
7/6/2016,110
7/7/2016,37
7/8/2016,734
7/9/2016,8
7/10/2016,65
7/11/2016,116
7/12/2016,156
7/13/2016,167
7/14/2016,76
7/15/2016,96
7/16/2016,121
7/17/2016,143
7/18/2016,
7/19/2016,
7/20/2016,
7/21/2016,
7/22/2016,58
7/23/2016,59
7/24/2016,50
7/25/2016,63
7/26/2016,109
7/27/2016,152
7/28/2016,138
7/29/2016,192
7/30/2016,62
7/31/2016,109
8/1/2016,109
8/2/2016,91
8/3/2016,72
8/4/2016,132
8/5/2016,94
8/6/2016,70
8/7/2016,69
8/8/2016,114
8/9/2016,108
8/10/2016,88
8/11/2016,78
8/12/2016,259
8/13/2016,43
8/14/2016,12
8/15/2016,47
8/16/2016,711
8/17/2016,53
8/18/2016,304
8/19/2016,561
8/20/2016,62
8/21/2016,58
8/22/2016,94
8/23/2016,92
8/24/2016,108
8/25/2016,122
8/26/2016,801
8/27/2016,798
8/28/2016,110
8/29/2016,53
8/30/2016,36
8/31/2016,119
9/1/2016,104
9/2/2016,106
9/3/2016,11
9/4/2016,132
9/5/2016,68
9/6/2016,148
9/7/2016,82
9/8/2016,143
9/9/2016,108
9/10/2016,6
9/11/2016,72
9/12/2016,56
9/13/2016,
9/14/2016,70
9/15/2016,
9/16/2016,98
9/17/2016,93
9/18/2016,42
9/19/2016,98
9/20/2016,72
9/21/2016,69
9/22/2016,93
9/23/2016,126
9/24/2016,81
9/25/2016,25
9/26/2016,109
9/27/2016,90
9/28/2016,86
9/29/2016,82
9/30/2016,65
10/1/2016,45
10/2/2016,123
10/3/2016,96
10/4/2016,74
10/5/2016,129
10/6/2016,91
10/7/2016,121
10/8/2016,80
10/9/2016,26
10/10/2016,90
10/11/2016,108
10/12/2016,43
10/13/2016,
10/14/2016,7
10/15/2016,
10/16/2016,17
10/17/2016,97
10/18/2016,121
10/19/2016,56
10/20/2016,132
10/21/2016,83
10/22/2016,87
10/23/2016,54
10/24/2016,192
10/25/2016,84
10/26/2016,56
10/27/2016,107
10/28/2016,91
10/29/2016,39
10/30/2016,84
10/31/2016,3
11/1/2016,11
11/2/2016,21
11/3/2016,100
11/4/2016,116
11/5/2016,
11/6/2016,81
11/7/2016,84
11/8/2016,103
11/9/2016,533
11/10/2016,307
11/11/2016,423
11/12/2016,4
11/13/2016,126
11/14/2016,99
11/15/2016,71
11/16/2016,36
11/17/2016,31
11/18/2016,76
11/19/2016,32
11/20/2016,14
11/21/2016,58
11/22/2016,57
11/23/2016,98
11/24/2016,118
11/25/2016,60
11/26/2016,49
11/27/2016,65
11/28/2016,71
11/29/2016,104
11/30/2016,48
12/1/2016,72
12/2/2016,202
12/3/2016,178
12/4/2016,10
12/5/2016,67
12/6/2016,63
12/7/2016,69
12/8/2016,125
12/9/2016,99
12/10/2016,98
12/11/2016,67
12/12/2016,35
12/13/2016,
12/14/2016,40
12/15/2016,86
12/16/2016,93
12/17/2016,53
12/18/2016,
12/19/2016,
12/20/2016,
12/21/2016,
12/22/2016,
12/23/2016,
12/24/2016,
12/25/2016,
12/26/2016,
12/27/2016,
12/28/2016,
12/29/2016,
12/30/2016,
12/31/2016,
1/1/2017,
1/2/2017,
1/3/2017,
1/4/2017,
1/5/2017,
1/6/2017,
1/7/2017,
1/8/2017,
1/9/2017,
1/10/2017,
1/11/2017,
1/12/2017,
1/13/2017,
1/14/2017,
1/15/2017,
1/16/2017,
1/17/2017,
1/18/2017,
1/19/2017,
1/20/2017,
1/21/2017,
1/22/2017,
1/23/2017,
1/24/2017,87
1/25/2017,369
1/26/2017,580
1/27/2017,103
1/28/2017,234
1/29/2017,
1/30/2017,249
1/31/2017,24
2/1/2017,
2/2/2017,
